Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597	103	-17	17	3597
104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612	104	-15	15	3612
105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627	105	-15	15	3627
106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663	106	-333	36	3663
107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678	107	-15	15	3678
108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691	108	-13	13	3691
109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715	109	-123	24	3715
110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730	110	-15	15	3730
111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745	111	-15	15	3745
112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763	112	-117	18	3763
