Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
173	-19	19	4376	173	-19	19	4376	173	-19	19	4376	173	-19	19	4376	173	-19	19	4376	173	-19	19	4376
174	-19	19	4395	174	-19	19	4395	174	-19	19	4395	174	-19	19	4395	174	-19	19	4395	174	-19	19	4395
175	-18	18	4413	175	-18	18	4413	175	-18	18	4413	175	-18	18	4413	175	-18	18	4413	175	-18	18	4413
176	-20	20	4433	176	-20	20	4433	176	-20	20	4433	176	-20	20	4433	176	-20	20	4433	176	-20	20	4433
177	-22	22	4455	177	-22	22	4455	177	-22	22	4455	177	-22	22	4455	177	-22	22	4455	177	-22	22	4455
178	-120	21	4476	178	-120	21	4476	178	-120	21	4476	178	-120	21	4476	178	-120	21	4476	178	-120	21	4476
179	-17	17	4493	179	-17	17	4493	179	-17	17	4493	179	-17	17	4493	179	-17	17	4493	179	-17	17	4493
180	-21	21	4514	180	-21	21	4514	180	-21	21	4514	180	-21	21	4514	180	-21	21	4514	180	-21	21	4514
181	-23	23	4537	181	-23	23	4537	181	-23	23	4537	181	-23	23	4537	181	-23	23	4537	181	-23	23	4537
182	-17	17	4554	182	-17	17	4554	182	-17	17	4554	182	-17	17	4554	182	-17	17	4554	182	-17	17	4554
183	-19	19	4573	183	-19	19	4573	183	-19	19	4573	183	-19	19	4573	183	-19	19	4573	183	-19	19	4573
184	-17	17	4590	184	-17	17	4590	184	-17	17	4590	184	-17	17	4590	184	-17	17	4590	184	-17	17	4590
185	-17	17	4607	185	-17	17	4607	185	-17	17	4607	185	-17	17	4607	185	-17	17	4607	185	-17	17	4607
186	-19	19	4626	186	-19	19	4626	186	-19	19	4626	186	-19	19	4626	186	-19	19	4626	186	-19	19	4626
187	-17	17	4643	187	-17	17	4643	187	-17	17	4643	187	-17	17	4643	187	-17	17	4643	187	-17	17	4643
188	-17	17	4660	188	-17	17	4660	188	-17	17	4660	188	-17	17	4660	188	-17	17	4660	188	-17	17	4660
189	-19	19	4679	189	-19	19	4679	189	-19	19	4679	189	-19	19	4679	189	-19	19	4679	189	-19	19	4679
