Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424	66	-18	18	1424
67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442	67	-18	18	1442
68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459	68	-17	17	1459
69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480	69	-21	21	1480
70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497	70	-17	17	1497
71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514	71	-17	17	1514
72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533	72	-19	19	1533
73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554	73	-21	21	1554
74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572	74	-18	18	1572
75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591	75	-19	19	1591
76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611	76	-119	20	1611
77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628	77	-17	17	1628
78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648	78	-20	20	1648
79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667	79	-19	19	1667
80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685	80	-18	18	1685
81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703	81	-18	18	1703
82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723	82	-119	20	1723
83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763	83	-40	40	1763
84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797	84	-34	34	1797
85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814	85	-17	17	1814
86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838	86	-24	24	1838
87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858	87	-20	20	1858
88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882	88	-24	24	1882
89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900	89	-18	18	1900
90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917	90	-17	17	1917
91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936	91	-19	19	1936
92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959	92	-23	23	1959
93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978	93	-19	19	1978
94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005	94	-27	27	2005
95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022	95	-17	17	2022
96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041	96	-19	19	2041
97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058	97	-17	17	2058
98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080	98	-22	22	2080
99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098	99	-18	18	2098
100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115	100	-17	17	2115
101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132	101	-17	17	2132
102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151	102	-19	19	2151
103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168	103	-17	17	2168
104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186	104	-18	18	2186
105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206	105	-20	20	2206
106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224	106	-18	18	2224
107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241	107	-17	17	2241
108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258	108	-17	17	2258
109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276	109	-18	18	2276
110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297	110	-21	21	2297
111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317	111	-20	20	2317
112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338	112	-21	21	2338
113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355	113	-17	17	2355
114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372	114	-17	17	2372
115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390	115	-18	18	2390
116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409	116	-19	19	2409
117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428	117	-19	19	2428
118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445	118	-17	17	2445
119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464	119	-19	19	2464
120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484	120	-20	20	2484
121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501	121	-17	17	2501
122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524	122	-23	23	2524
123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542	123	-18	18	2542
124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573	124	-31	31	2573
125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591	125	-18	18	2591
126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610	126	-19	19	2610
127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631	127	-21	21	2631
128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648	128	-17	17	2648
129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666	129	-18	18	2666
130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685	130	-19	19	2685
131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702	131	-17	17	2702
132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725	132	-23	23	2725
133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747	133	-22	22	2747
134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764	134	-17	17	2764
135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782	135	-18	18	2782
