Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732	101	-125	26	1732
102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773	102	-437	41	1773
103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788	103	-15	15	1788
104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801	104	-13	13	1801
105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814	105	-13	13	1814
106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832	106	-117	18	1832
107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847	107	-15	15	1847
108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862	108	-15	15	1862
109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876	109	-14	14	1876
110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892	110	-16	16	1892
